grid_lat,grid_lon,violations,unique_vehicles,peak_hour,top_vehicle,top_location,top_station,top_junction,repeat_ratio,s_volume,s_repeat,s_spread,priority_score,rank,violations_per_day,recommended_officers
13.008000000000001,77.5545,1586,1463,10,CAR,"80 Feet Ring Road, Dr Rajkumar Road 17th Cross Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",Malleshwaram,"BTP001 - 10th Cross, Dr. Rajkumar Road",1.08,0.8664037534717021,0.016000000000000014,0.40164835164835166,58.4,20,10.5,2
12.964500000000001,77.5755,1544,1354,1,SCOOTER,"Mysore Road, Sri Krishna Rajendra Market, Chickpete, Bengaluru, Karnataka. Pin-560002 (India)",City Market,BTP082 - KR Market Junction,1.14,0.8629231218516781,0.02799999999999998,0.3717032967032967,58.1,21,10.2,2
12.964500000000001,77.5845,1535,1457,10,SCOOTER,"Pailwan M Krishnappa Road, Shoukath Mohalla, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",Halasuru Gate,"BTP080 - NR Road, SP Road Junction",1.05,0.8621649694135092,0.010000000000000009,0.4,58.0,22,10.2,2
12.9915,77.589,1150,511,3,SCOOTER,"Palace Road, Kalpana Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",High ground,BTP032 - Windsor Circle,2.25,0.8247197540623885,0.25,0.1401098901098901,57.8,23,7.6,1
12.9765,77.5755,1483,1381,3,SCOOTER,"Subedar Chatram Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",Upparpet,BTP040 - Elite Junction,1.07,0.8576956250809671,0.014000000000000012,0.3791208791208791,57.5,24,9.8,1
12.978,77.58,1445,1211,1,CAR,"1st Main Road, Jakkarayana Kere, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",Upparpet,BTP044 - Sagar Theatre Junction,1.19,0.8543293870876278,0.03799999999999999,0.3324175824175824,57.2,25,9.6,1
12.978,77.574,1433,1300,5,CAR,"Major T Ramachandrappa Road, AT Extension, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",Upparpet,BTP045 - Danvanthri Road Junction,1.1,0.853247963691399,0.020000000000000018,0.3568681318681319,57.0,26,9.5,1
13.012500000000001,77.5545,1422,1271,9,PASSENGER AUTO,"80 Feet Ring Road, Orion, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",Malleshwaram,No Junction,1.12,0.852248679354141,0.02400000000000002,0.3489010989010989,57.0,27,9.4,1
13.0005,77.55,1375,1159,8,SCOOTER,"19th Main Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",Malleshwaram,BTP027 - Modi Bridge Junction,1.19,0.8478901470203887,0.03799999999999999,0.3181318681318681,56.6,28,9.1,1
12.9795,77.607,1261,936,10,SCOOTER,"Main Guard Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",Shivajinagar,BTP051 - Safina Plaza Junction,1.35,0.8366672464126629,0.07000000000000002,0.25686813186813184,55.8,29,8.4,1
13.008000000000001,77.571,1272,1110,7,CAR,"Sri Venkataranga Ayangar Road, Malleshwaram 18th Cross Junction, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",Malleshwaram,No Junction,1.15,0.8377934630450404,0.02999999999999998,0.30467032967032964,55.6,30,8.4,1
12.999,77.55,1189,978,7,SCOOTER,"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",Rajajinagar,BTP027 - Modi Bridge Junction,1.22,0.8290439749060231,0.044,0.2684065934065934,54.9,31,7.9,1
12.9795,77.5755,1207,1062,9,CAR,"Subedar Chatram Road, AT Extension, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",Upparpet,BTP057 - Anand Rao Junction,1.14,0.8309921858234239,0.02799999999999998,0.2914835164835165,54.9,32,8.0,1
12.9705,77.5755,1187,1030,9,SCOOTER,"AS Char Main Road, Chickpet Circle, Chickpete, Bengaluru, Karnataka. Pin-560053 (India)",City Market,BTP043 - Upparpet Junction,1.15,0.828825690486926,0.02999999999999998,0.2826923076923077,54.7,33,7.9,1
13.011000000000001,77.5545,1174,1031,9,PASSENGER AUTO,"80 Feet Ring Road, Orion, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",Malleshwaram,No Junction,1.14,0.8273978210367476,0.02799999999999998,0.28296703296703296,54.6,34,7.8,1
12.996,77.6685,1166,1013,9,SCOOTER,"MBT Road, Royal Heritage, Pai Layout, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)",Mahadevapura,No Junction,1.15,0.8265112587051376,0.02999999999999998,0.27802197802197803,54.5,35,7.7,1
12.975,77.5755,1164,1021,8,CAR,"Kempegowda Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",Upparpet,BTP040 - Elite Junction,1.14,0.8262886685020977,0.02799999999999998,0.2802197802197802,54.5,36,7.7,1
12.9765,77.58,1168,1035,9,CAR,"1st Main Road, Maharani College Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",Upparpet,BTP044 - Sagar Theatre Junction,1.13,0.8267334677603833,0.025999999999999978,0.28406593406593406,54.5,37,7.7,1
12.9735,77.58,1140,988,9,SCOOTER,"3rd Cross Road, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",Upparpet,BTP044 - Sagar Theatre Junction,1.15,0.8235873729106447,0.02999999999999998,0.27115384615384613,54.2,38,7.5,1
13.012500000000001,77.553,1116,872,10,CAR,"Da Ra Bendre Road, Phoenix Kessaku, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",Malleshwaram,No Junction,1.28,0.820828649571965,0.05600000000000001,0.2392857142857143,54.2,39,7.4,1
13.0005,77.6775,1146,1063,1,PASSENGER AUTO,"Outer Ring Road, Venkatappa Colony, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)",Mahadevapura,No Junction,1.08,0.824267986655542,0.016000000000000014,0.2917582417582418,54.2,40,7.6,1
12.972,77.658,1071,828,7,SCOOTER,"Pusa Thippasandra Main Road, Nada Prabhu Kempegowda Circle, New Thippasandra, Bengaluru, Karnataka. Pin-560075 (India)",Jeevanbheemanagar,No Junction,1.29,0.8154924454845883,0.05800000000000001,0.2271978021978022,53.8,41,7.1,1
12.963000000000001,77.577,1088,1014,22,SCOOTER,"KR Main Road, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)",City Market,BTP082 - KR Market Junction,1.07,0.8175342191740086,0.014000000000000012,0.2782967032967033,53.6,42,7.2,1
12.981,77.607,980,653,11,SCOOTER,"Main Guard Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",Shivajinagar,BTP051 - Safina Plaza Junction,1.5,0.8039806888419871,0.1,0.17912087912087912,53.4,43,6.5,1
12.964500000000001,77.5785,1044,937,10,SCOOTER,"Silver Jubilee Park Road, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)",City Market,BTP082 - KR Market Junction,1.11,0.8121821181125284,0.02200000000000002,0.2571428571428571,53.1,44,6.9,1
12.9795,77.5785,950,702,1,CAR,"Vajreshwari Road, R Subanna Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",Upparpet,BTP058 - Subbanna Junction,1.35,0.7999502389041817,0.07000000000000002,0.1925824175824176,52.6,45,6.3,1
12.999,77.5485,860,517,7,SCOOTER,"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",Rajajinagar,BTP027 - Modi Bridge Junction,1.66,0.7870485572245289,0.13199999999999998,0.14175824175824175,52.6,46,5.7,1
12.964500000000001,77.718,891,796,10,MAXI-CAB,"ITPL Main Road, Brigade Tech Gardens, Brookefield, Bengaluru, Karnataka. Pin-560037 (India)",HAL Old Airport,No Junction,1.12,0.7916387354103107,0.02400000000000002,0.2184065934065934,51.4,47,5.9,1
12.978,77.5785,842,656,1,CAR,"5th Cross Road, Jakkarayana Kere, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",Upparpet,BTP058 - Subbanna Junction,1.28,0.7843068343299638,0.05600000000000001,0.17994505494505494,51.2,48,5.6,1
13.008000000000001,77.5485,737,448,10,SCOOTER,"1st Main Road, Block 1R, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",Rajajinagar,BTP023 - Mahalaxmi Layout Entrance,1.65,0.7670444147852749,0.12999999999999998,0.1228021978021978,51.1,49,4.9,1
13.0065,77.571,857,727,10,CAR,"Sri Venkataranga Ayangar Road, Ranganathapura, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",Malleshwaram,No Junction,1.18,0.7865956071780935,0.03599999999999999,0.19945054945054946,51.1,50,5.7,1
