grid_lat,grid_lon,violations,unique_vehicles,peak_hour,top_vehicle,top_location,top_station,top_junction,repeat_ratio,s_volume,s_repeat,s_spread,priority_score,rank,violations_per_day,recommended_officers
13.008000000000001,77.5545,1586,1463,10,CAR,"80 Feet Ring Road, Dr Rajkumar Road 17th Cross Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",Malleshwaram,"BTP001 - 10th Cross, Dr. Rajkumar Road",1.08,0.8664037534717021,0.016000000000000014,0.40164835164835166,58.4,20,10.5,2
12.964500000000001,77.5755,1544,1354,1,SCOOTER,"Mysore Road, Sri Krishna Rajendra Market, Chickpete, Bengaluru, Karnataka. Pin-560002 (India)",City Market,BTP082 - KR Market Junction,1.14,0.8629231218516781,0.02799999999999998,0.3717032967032967,58.1,21,10.2,2
12.964500000000001,77.5845,1535,1457,10,SCOOTER,"Pailwan M Krishnappa Road, Shoukath Mohalla, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",Halasuru Gate,"BTP080 - NR Road, SP Road Junction",1.05,0.8621649694135092,0.010000000000000009,0.4,58.0,22,10.2,2
12.9915,77.589,1150,511,3,SCOOTER,"Palace Road, Kalpana Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",High ground,BTP032 - Windsor Circle,2.25,0.8247197540623885,0.25,0.1401098901098901,57.8,23,7.6,1
12.9765,77.5755,1483,1381,3,SCOOTER,"Subedar Chatram Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",Upparpet,BTP040 - Elite Junction,1.07,0.8576956250809671,0.014000000000000012,0.3791208791208791,57.5,24,9.8,1
12.978,77.58,1445,1211,1,CAR,"1st Main Road, Jakkarayana Kere, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",Upparpet,BTP044 - Sagar Theatre Junction,1.19,0.8543293870876278,0.03799999999999999,0.3324175824175824,57.2,25,9.6,1
12.978,77.574,1433,1300,5,CAR,"Major T Ramachandrappa Road, AT Extension, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",Upparpet,BTP045 - Danvanthri Road Junction,1.1,0.853247963691399,0.020000000000000018,0.3568681318681319,57.0,26,9.5,1
13.012500000000001,77.5545,1422,1271,9,PASSENGER AUTO,"80 Feet Ring Road, Orion, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",Malleshwaram,No Junction,1.12,0.852248679354141,0.02400000000000002,0.3489010989010989,57.0,27,9.4,1
13.0005,77.55,1375,1159,8,SCOOTER,"19th Main Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",Malleshwaram,BTP027 - Modi Bridge Junction,1.19,0.8478901470203887,0.03799999999999999,0.3181318681318681,56.6,28,9.1,1
12.9795,77.607,1261,936,10,SCOOTER,"Main Guard Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",Shivajinagar,BTP051 - Safina Plaza Junction,1.35,0.8366672464126629,0.07000000000000002,0.25686813186813184,55.8,29,8.4,1
13.008000000000001,77.571,1272,1110,7,CAR,"Sri Venkataranga Ayangar Road, Malleshwaram 18th Cross Junction, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",Malleshwaram,No Junction,1.15,0.8377934630450404,0.02999999999999998,0.30467032967032964,55.6,30,8.4,1
12.999,77.55,1189,978,7,SCOOTER,"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",Rajajinagar,BTP027 - Modi Bridge Junction,1.22,0.8290439749060231,0.044,0.2684065934065934,54.9,31,7.9,1
12.9795,77.5755,1207,1062,9,CAR,"Subedar Chatram Road, AT Extension, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",Upparpet,BTP057 - Anand Rao Junction,1.14,0.8309921858234239,0.02799999999999998,0.2914835164835165,54.9,32,8.0,1
12.9705,77.5755,1187,1030,9,SCOOTER,"AS Char Main Road, Chickpet Circle, Chickpete, Bengaluru, Karnataka. Pin-560053 (India)",City Market,BTP043 - Upparpet Junction,1.15,0.828825690486926,0.02999999999999998,0.2826923076923077,54.7,33,7.9,1
13.011000000000001,77.5545,1174,1031,9,PASSENGER AUTO,"80 Feet Ring Road, Orion, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",Malleshwaram,No Junction,1.14,0.8273978210367476,0.02799999999999998,0.28296703296703296,54.6,34,7.8,1
12.996,77.6685,1166,1013,9,SCOOTER,"MBT Road, Royal Heritage, Pai Layout, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)",Mahadevapura,No Junction,1.15,0.8265112587051376,0.02999999999999998,0.27802197802197803,54.5,35,7.7,1
12.975,77.5755,1164,1021,8,CAR,"Kempegowda Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",Upparpet,BTP040 - Elite Junction,1.14,0.8262886685020977,0.02799999999999998,0.2802197802197802,54.5,36,7.7,1
12.9765,77.58,1168,1035,9,CAR,"1st Main Road, Maharani College Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",Upparpet,BTP044 - Sagar Theatre Junction,1.13,0.8267334677603833,0.025999999999999978,0.28406593406593406,54.5,37,7.7,1
12.9735,77.58,1140,988,9,SCOOTER,"3rd Cross Road, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",Upparpet,BTP044 - Sagar Theatre Junction,1.15,0.8235873729106447,0.02999999999999998,0.27115384615384613,54.2,38,7.5,1
13.012500000000001,77.553,1116,872,10,CAR,"Da Ra Bendre Road, Phoenix Kessaku, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",Malleshwaram,No Junction,1.28,0.820828649571965,0.05600000000000001,0.2392857142857143,54.2,39,7.4,1
13.0005,77.6775,1146,1063,1,PASSENGER AUTO,"Outer Ring Road, Venkatappa Colony, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)",Mahadevapura,No Junction,1.08,0.824267986655542,0.016000000000000014,0.2917582417582418,54.2,40,7.6,1
12.972,77.658,1071,828,7,SCOOTER,"Pusa Thippasandra Main Road, Nada Prabhu Kempegowda Circle, New Thippasandra, Bengaluru, Karnataka. Pin-560075 (India)",Jeevanbheemanagar,No Junction,1.29,0.8154924454845883,0.05800000000000001,0.2271978021978022,53.8,41,7.1,1
12.963000000000001,77.577,1088,1014,22,SCOOTER,"KR Main Road, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)",City Market,BTP082 - KR Market Junction,1.07,0.8175342191740086,0.014000000000000012,0.2782967032967033,53.6,42,7.2,1
12.981,77.607,980,653,11,SCOOTER,"Main Guard Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",Shivajinagar,BTP051 - Safina Plaza Junction,1.5,0.8039806888419871,0.1,0.17912087912087912,53.4,43,6.5,1
12.964500000000001,77.5785,1044,937,10,SCOOTER,"Silver Jubilee Park Road, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)",City Market,BTP082 - KR Market Junction,1.11,0.8121821181125284,0.02200000000000002,0.2571428571428571,53.1,44,6.9,1
12.9795,77.5785,950,702,1,CAR,"Vajreshwari Road, R Subanna Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",Upparpet,BTP058 - Subbanna Junction,1.35,0.7999502389041817,0.07000000000000002,0.1925824175824176,52.6,45,6.3,1
12.999,77.5485,860,517,7,SCOOTER,"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",Rajajinagar,BTP027 - Modi Bridge Junction,1.66,0.7870485572245289,0.13199999999999998,0.14175824175824175,52.6,46,5.7,1
12.964500000000001,77.718,891,796,10,MAXI-CAB,"ITPL Main Road, Brigade Tech Gardens, Brookefield, Bengaluru, Karnataka. Pin-560037 (India)",HAL Old Airport,No Junction,1.12,0.7916387354103107,0.02400000000000002,0.2184065934065934,51.4,47,5.9,1
12.978,77.5785,842,656,1,CAR,"5th Cross Road, Jakkarayana Kere, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",Upparpet,BTP058 - Subbanna Junction,1.28,0.7843068343299638,0.05600000000000001,0.17994505494505494,51.2,48,5.6,1
13.008000000000001,77.5485,737,448,10,SCOOTER,"1st Main Road, Block 1R, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",Rajajinagar,BTP023 - Mahalaxmi Layout Entrance,1.65,0.7670444147852749,0.12999999999999998,0.1228021978021978,51.1,49,4.9,1
13.0065,77.571,857,727,10,CAR,"Sri Venkataranga Ayangar Road, Ranganathapura, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",Malleshwaram,No Junction,1.18,0.7865956071780935,0.03599999999999999,0.19945054945054946,51.1,50,5.7,1
12.975,77.577,846,795,9,SCOOTER,"Kempegowda Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",Upparpet,BTP040 - Elite Junction,1.06,0.7849211316027791,0.01200000000000001,0.21813186813186813,50.7,51,5.6,1
12.969,77.5755,829,732,10,SCOOTER,"AS Char Main Road, Chickpet Circle, Chickpete, Bengaluru, Karnataka. Pin-560053 (India)",City Market,No Junction,1.13,0.7822900445027211,0.025999999999999978,0.20082417582417583,50.6,52,5.5,1
12.9975,77.5485,780,626,10,SCOOTER,"Padmabhushan Dr MC Modi Road, Phase 1, Manjunatha Nagar, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",Vijayanagara,BTP027 - Modi Bridge Junction,1.25,0.7743934650643812,0.05,0.1717032967032967,50.3,53,5.2,1
13.1835,77.679,811,762,13,CAR,"Unnamed Road, Begur Chikkanahalli, Bengaluru, Karnataka. Pin-562149 (India)",Chikkajala,No Junction,1.06,0.7794447892139003,0.01200000000000001,0.20906593406593407,50.2,54,5.4,1
13.185,77.6805,802,762,1,CAR,"Unnamed Road, Begur Chikkanahalli, Bengaluru, Karnataka. Pin-562149 (India)",Chikkajala,No Junction,1.05,0.777998420669644,0.010000000000000009,0.20906593406593407,50.1,55,5.3,1
12.8415,77.646,730,548,13,SCOOTER,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",Electronic City,No Junction,1.33,0.7658076587996056,0.06600000000000002,0.15027472527472527,49.9,56,4.8,1
12.9945,77.589,671,433,3,SCOOTER,"Palace Road, Kumar Park, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",High ground,BTP032 - Windsor Circle,1.55,0.75488684421813,0.11000000000000001,0.11868131868131868,49.8,57,4.4,1
12.964500000000001,77.5395,775,730,11,SCOOTER,"Sri Sankasta Hara Ganapati Temple Road, RPC Layout, Vijaya Nagar Stage 2, Bengaluru, Karnataka. Pin-560104 (India)",Vijayanagara,"BTP016 - 5th Main Road, RPC Layout",1.06,0.7735600000506264,0.01200000000000001,0.20027472527472528,49.7,58,5.1,1
13.008000000000001,77.694,746,640,0,CAR,"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",K.R. Pura,No Junction,1.17,0.768617404427087,0.03399999999999999,0.17554945054945054,49.6,59,4.9,1
12.961500000000001,77.5995,586,324,4,SCOOTER,"O Shaughnessy Road, Divyasree Chambers, Langford Garden, Richmond Town, Bengaluru, Karnataka. Pin-560025 (India)",Ashok Nagar,BTP172 - Nanjappa Circle,1.81,0.7373375825893319,0.162,0.08873626373626374,49.6,60,3.9,1
12.999,77.553,713,656,8,SCOOTER,"80 Feet Ring Road, Navarang Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",Malleshwaram,BTP008 - Navarang Theatre,1.09,0.7627541048199054,0.018000000000000016,0.17994505494505494,48.9,61,4.7,1
12.9975,77.55,701,611,8,SCOOTER,"Padmabhushan Dr MC Modi Road, Star Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",Vijayanagara,BTP027 - Modi Bridge Junction,1.15,0.760554559678936,0.02999999999999998,0.16758241758241757,48.9,62,4.6,1
12.9795,77.58,665,514,1,CAR,"Vajreshwari Road, Railway Officers Enclave, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",Upparpet,BTP058 - Subbanna Junction,1.29,0.7537229794072395,0.05800000000000001,0.14093406593406593,48.8,63,4.4,1
12.93,77.685,707,663,8,PASSENGER AUTO,"Outer Ring Road, Saffron Square, Kariyammana Agrahara, Bengaluru, Karnataka. Pin-560103 (India)",HAL Old Airport,No Junction,1.07,0.761658992358467,0.014000000000000012,0.18186813186813186,48.8,64,4.7,1
13.1865,77.6805,702,672,4,CAR,"Unnamed Road, Begur Chikkanahalli, Bengaluru, Karnataka. Pin-562149 (India)",Chikkajala,No Junction,1.04,0.7607392857692826,0.008000000000000007,0.18434065934065935,48.6,65,4.6,1
12.999,77.571,690,656,11,CAR,"Sri Venkataranga Ayangar Road, RR Palace, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",Malleshwaram,No Junction,1.05,0.7585050258756231,0.010000000000000009,0.17994505494505494,48.5,66,4.6,1
12.975,77.5785,662,586,8,CAR,"1st Main Road, Sagar Theatre Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",Upparpet,BTP044 - Sagar Theatre Junction,1.13,0.7531371090823025,0.025999999999999978,0.16071428571428573,48.2,67,4.4,1
12.9435,77.571,641,580,11,SCOOTER,"Sri DV Gundappa Road, Shopper Junction, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",Basavanagudi,BTP108 - Tagore Park Junction,1.11,0.7489602409553948,0.02200000000000002,0.15906593406593406,47.9,68,4.2,1
13.191,77.646,648,605,1,CAR,"Bengaluru Bellary Road, Sadahalli Gate Junction, Navarathna Agrahara, Bengaluru, Karnataka. Pin-562157 (India)",Chikkajala,No Junction,1.07,0.7503675210455497,0.014000000000000012,0.16593406593406593,47.9,69,4.3,1
12.9825,77.6115,644,574,11,SCOOTER,"Veera Pillai Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",Shivajinagar,No Junction,1.12,0.7495652306597985,0.02400000000000002,0.1574175824175824,47.9,70,4.3,1
12.945,77.571,647,599,10,SCOOTER,"Sri DV Gundappa Road, Gandhi Bazar Circle, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",Basavanagudi,BTP108 - Tagore Park Junction,1.08,0.7501674129772848,0.016000000000000014,0.16428571428571428,47.9,71,4.3,1
13.071,77.589,617,510,11,SCOOTER,"Sahakar Nagar Road, Olivia, Raintree Boulevard, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",Kodigehalli,No Junction,1.21,0.7440160217550768,0.041999999999999996,0.13983516483516484,47.8,72,4.1,1
12.967500000000001,77.574,631,556,11,PASSENGER AUTO,"AS Char Main Road, Santhusapete, Chickpete, Bengaluru, Karnataka. Pin-560053 (India)",Chamarajpet,"BTP083 - AS Char Street, Mysore Road",1.13,0.7469229925761264,0.025999999999999978,0.15247252747252749,47.8,73,4.2,1
12.9405,77.6955,643,625,8,CAR,"Kadubeesanahalli Underpass, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",HAL Old Airport,No Junction,1.03,0.7493638806480222,0.006000000000000005,0.17142857142857143,47.7,74,4.3,1
13.009500000000001,77.5545,638,590,10,CAR,"80 Feet Ring Road, Dr Rajkumar Road 17th Cross Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",Malleshwaram,No Junction,1.08,0.7483524175652237,0.016000000000000014,0.16181318681318682,47.7,75,4.2,1
12.939,77.6955,612,585,8,CAR,"Kadubeesanahalli Underpass, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",HAL Old Airport,No Junction,1.05,0.7429618319078045,0.010000000000000009,0.16043956043956045,47.2,76,4.1,1
12.975,77.547,580,491,4,SCOOTER,"Chord Road, Sindhya Sunshine Apartment, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",Vijayanagara,BTP069 - MC Circle,1.18,0.7360043168558574,0.03599999999999999,0.1346153846153846,47.1,77,3.8,1
12.993,77.553,443,252,3,CAR,"17th Main Road, KPTCL Quarters, Block 2, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",Rajajinagar,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",1.76,0.7011057493967559,0.152,0.06895604395604396,46.9,78,2.9,1
12.978,77.571,597,572,8,PASSENGER AUTO,"Rao Bahadur DGT Road, Majestic Circle, Majestic, Bengaluru, Karnataka. Pin-560023 (India)",Chamarajpet,BTP048 - Shanthala Junction,1.04,0.7397468849104192,0.008000000000000007,0.15686813186813187,46.9,79,4.0,1
12.9585,77.577,572,504,11,SCOOTER,"Tippu Sultan Palace Road, Kalasipalyam, Bengaluru, Karnataka. Pin-560002 (India)",City Market,BTP118 - Basappa Circle,1.13,0.7342050498131123,0.025999999999999978,0.1381868131868132,46.8,80,3.8,1
13.005,77.5695,580,538,8,CAR,"15th Cross Road, Malleshwara Extension, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",Malleshwaram,No Junction,1.08,0.7360043168558574,0.016000000000000014,0.14752747252747253,46.8,81,3.8,1
12.984,77.6025,565,530,10,PASSENGER AUTO,"Meenakshi Koil Street, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",Shivajinagar,BTP211 - Central Street Junction,1.07,0.7326099631883076,0.014000000000000012,0.14532967032967034,46.5,82,3.7,1
13.047,77.5755,502,368,1,SCOOTER,"Bhadrappa Flyover, Nagashetty Halli, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)",Kodigehalli,No Junction,1.36,0.7172965893599521,0.07200000000000002,0.10082417582417583,46.4,83,3.3,1
12.9825,77.613,554,495,10,CAR,"Gangadhara Chetty Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",Shivajinagar,No Junction,1.12,0.7300631006707988,0.02400000000000002,0.1357142857142857,46.4,84,3.7,1
12.9795,77.577,535,437,1,CAR,"5th Main Road, R Subanna Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",Upparpet,BTP058 - Subbanna Junction,1.22,0.72554269666203,0.044,0.11978021978021978,46.4,85,3.5,1
12.996,77.5635,439,268,9,SCOOTER,"4th Main Road, Nagappa Block, Srirampuram, Bengaluru, Karnataka. Pin-560021 (India)",Sheshadripuram,No Junction,1.64,0.699931351729518,0.12799999999999997,0.07335164835164835,46.3,86,2.9,1
12.936,77.616,547,504,7,SCOOTER,"20th Main Road, Block 7, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",Adugodi,BTP135 - UCO Bank Junction,1.09,0.7284159518193187,0.018000000000000016,0.1381868131868132,46.2,87,3.6,1
13.005,77.685,540,513,7,CAR,"MBT Road, SM Layout, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",K.R. Pura,No Junction,1.05,0.7267476269209044,0.010000000000000009,0.14065934065934066,46.0,88,3.6,1
12.967500000000001,77.5785,528,467,10,SCOOTER,"Avenue Road, Avenue Circle, Chickpete, Bengaluru, Karnataka. Pin-560002 (India)",City Market,BTP082 - KR Market Junction,1.13,0.72383677463866,0.025999999999999978,0.128021978021978,46.0,89,3.5,1
12.912,77.63850000000001,508,415,10,SCOOTER,"14th Main Road, The Metropolitan Cooperative Housing Society, Sector 4, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",HSR Layout,No Junction,1.22,0.7188353827644969,0.044,0.11373626373626373,45.9,90,3.4,1
12.9735,77.6145,536,499,4,CAR,"Mahatma Gandhi Road, WEBBS Circle Junction, Ashok Nagar, Bengaluru, Karnataka. Pin-560001 (India)",Halasur,No Junction,1.07,0.7257845794097031,0.014000000000000012,0.13681318681318683,45.9,91,3.5,1
12.964500000000001,77.583,514,462,10,CAR,"Silver Jubilee Park Road, Shoukath Mohalla, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",Halasuru Gate,"BTP080 - NR Road, SP Road Junction",1.11,0.7203561430186362,0.02200000000000002,0.12664835164835164,45.7,92,3.4,1
12.936,77.6925,513,486,4,MAXI-CAB,"Outer Ring Road, Rajiv Nagar, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",HAL Old Airport,No Junction,1.06,0.7201039173676966,0.01200000000000001,0.13324175824175824,45.5,93,3.4,1
13.1835,77.6805,517,500,1,CAR,"Unnamed Road, Begur Chikkanahalli, Bengaluru, Karnataka. Pin-562149 (India)",Chikkajala,No Junction,1.03,0.7211098918360099,0.006000000000000005,0.1370879120879121,45.5,94,3.4,1
12.961500000000001,77.5275,460,365,12,SCOOTER,"4th Main Road, Sri Basaveshwara HBCS, Phase 1, Chandra Layout Stage 2, Bengaluru, Karnataka. Pin-560040 (India)",Byatarayanapura,No Junction,1.26,0.7059816620945886,0.052000000000000005,0.1,45.2,95,3.0,1
12.9495,77.7,480,420,3,CAR,"Outer Ring Road, Soulspace Paradigm, Marathahalli Village, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",HAL Old Airport,No Junction,1.14,0.711492896098407,0.02799999999999998,0.1151098901098901,45.1,96,3.2,1
13.0005,77.6115,476,423,11,SCOOTER,"Robertson Road, Sri Ramakrishnappa Circle, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",Pulikeshinagar(F.Town),No Junction,1.13,0.7104092150070799,0.025999999999999978,0.11593406593406594,45.0,97,3.2,1
12.969,77.5365,474,422,10,SCOOTER,"1st Main Road, Police Quarters, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",Vijayanagara,"BTP022 - Marenahalli Junction, Vijayanagar",1.12,0.7098639618664467,0.02400000000000002,0.11565934065934066,44.9,98,3.1,1
12.972,77.598,475,423,11,CAR,"Walton Road, Walton Road Circle, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)",Cubbon Park,BTP063 - Siddalingaiah Circle,1.12,0.7101368748094218,0.02400000000000002,0.11593406593406594,44.9,99,3.1,1
12.957,77.7015,482,455,11,SCOOTER,"Marathahalli Underpass, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",HAL Old Airport,No Junction,1.06,0.7120313618359473,0.01200000000000001,0.12472527472527473,44.9,100,3.2,1
